ANKRD20A4	658491	443	20	2469
ANKRD22	175425	289	26	573
ANKRD23	822597	392	46	915
ANKRD24	2194691	244	41	3858
ANKRD26	390573	459	24	5658
ANKRD27	369667	455	-38	3201
ANKRD28	345831	435	29	3300
ANKRD29	331927	138	67	940
ANKRD30A	53742	1067	-43	4380
ANKRD32	54375	399	20	3174
ANKRD33	570716	438	22	1421
ANKRD34A	658491	443	20	1488
ANKRD34B	321394	545	38	1542
ANKRD35	658491	443	20	3003
ANKRD37	173409	422	20	474
ANKRD39	822597	392	46	549
ANKRD40	1585602	196	18	1104
ANKRD42	308108	414	18	1780
ANKRD44	744603	444	27	3166
ANKRD45	432542	423	4	798
ANKRD46	1144761	214	67	744
ANKRD49	341083	589	-7	834
ANKRD5	194301	442	-34	2328
ANKRD50	47412	616	-24	4287
ANKRD52	2878071	171	46	3228
ANKRD53	380551	561	27	1716
ANKRD54	1385064	203	66	965
ANKRD55	248990	402	45	1949
ANKRD6	403943	609	43	2348
ANKRD7	72287	922	-13	853
ANKRD9	1673146	191	42	951
ANKS1A	664697	304	26	3454
ANKS1B	149256	941	-9	4164
ANKS3	717235	194	35	2310
ANKS4B	402663	575	41	1251
ANKS6	298496	375	12	2663
ANKZF1	733837	158	40	2178
ANLN	332583	329	21	3430
ANO1	763592	286	35	3210
ANO10	106227	518	29	2181
ANO2	349024	712	13	3045
ANO3	20260	970	-20	2970
ANO4	245388	937	-16	3376
ANO5	51558	935	-7	2739
ANO6	313473	719	1	3135
ANO7	1333138	317	35	3017
ANO8	842088	211	43	4035
ANO9	2206786	344	58	2346
ANP32A	437749	562	32	752
ANP32B	466644	269	42	753
ANP32D	904892	390	11	393
ANP32E	1207965	197	39	858
ANPEP	934542	212	37	2939
ANTXR1	338803	288	14	1845
ANTXR2	62176	905	6	1603
ANXA1	247950	411	-15	1071
ANXA10	55532	402	-16	972
ANXA11	366637	626	7	1602
ANXA13	492587	192	12	1071
ANXA2	431518	299	14	1272
ANXA3	243621	351	21	970
ANXA4	864962	193	50	963
ANXA5	311234	440	9	975
ANXA6	926280	300	41	2090
ANXA7	847821	249	45	1464
ANXA8	658491	443	20	1095
ANXA8L1	658491	443	20	1095
ANXA8L2	658491	443	20	1095
ANXA9	1621279	172	30	1035
AOAH	247838	600	15	2030
AOC2	1631295	190	28	2268
AOC3	1629499	190	23	2289
AOX1	572062	160	23	4098
AP1AR	181002	351	22	914
AP1B1	849693	251	36	3143
AP1G1	460697	443	24	2676
AP1G2	1250373	553	35	2488
AP1M1	814131	255	26	1401
